,title,contents
18,의류건조기 렌탈료 올린 SK매직…1위 탈환하나,"SK매직이 다음 달부터 의류건조기 렌탈료를 올리기로 결정하면서 업계 1위로 올라설지 이목이 집중된다. 29일 SK매직에 따르면 다음 달 1일부터 의류건조기 가격을 각각 화이트 2만1900원에서 2만7900원으로, 메탈실버..."
19,"서울지방변호사회, 구직자에 정장 등 의류 기증","등 의류 기증식을 갖는다. 이번 기증은 '청년 구직자 응원 캠페인'의 일환으로 비영리단체 '열린 옷장'과 함께 진행하는 행사로 서울변회 회원들을 대상으로 정장, 와이셔츠, 넥타이 등의 의류를 기증받아 청년 구직자와..."
20,'의류관리기' LG 독주를 막아라… 삼성·코웨이도 진출 채비,[뉴데일리-김희진 기자] 미세먼지 바람을 타고 의류관리기의 인기가 날로 높아지고 있다. 의류관리기는 앞서 몇 년간 LG전자가 내놓은 ‘스타일러’가 유일한 제품이었다. 그러다 최근엔 제품 인기가 높아지자 경쟁사들의...
21,중기 전쟁터 된 의류가전 시장,"뉴스토마토  이우찬 기자 | 미세먼지 등으로 의류 관련 가전 시장이 갈수록 커지면서 중소·중견기업들도... 별도의 세탁, 드라이클리닝 없이 살균, 스팀, 미세먼지 제거가 가능한 의류관리기는 지난해 10만~12만대에서..."
22,"삼성전자, '의류관리+공기청정기' 출시하나",서울 전자랜드프라이스킹 용산점에서 고객이 의류 건조기를 살펴보고 있다. 김동욱기자 gphoto@etnews.com 삼성전자가 출시 예정인 신형 의류관리기를 두고 '삼성 의류청정기'라는 상표를 등록한 것으로 확인됐다. 27일...
23,"태평양물산, 베트남 타인호아성 의류공장 생산라인 증설","태평양물산, 베트남 타인호아성 의류생산공장 전경[태평양물산 제공] 글로벌 의류제조기업 태평양물산은 베트남 타인호아성 의류 생산 공장(VPT) 제2동을 증설하고 생산라인 가동을 시작했다고 25일 밝혔다. 2015년..."
24,"코웨이, '사계절 의류청정기'로 의류관리기 게임 체인저 노린다",코웨이 사계절 의류청정기 라이프케어기업 코웨이가 '사계절 의류청정기'를 출시하며 국내 의류관리기 시장에 출사표를 던졌다. 코웨이는 의류관리기 시장에서 '퍼스트 무버' 자리는 놓쳤지만 기존 의류관리기와...
25,“더위 잡아라”…패션업계는 지금 냉감 의류 기술력 경쟁중,본격 여름 더위가 다가오면서 패션업계의 냉감 의류 기술력 경쟁이 치열해지고 있다. 땀과 수분에 반응하는 소재를 의류에 적용하는가 하면 제품 차별화를 위해 냉감 기능을 갖춘 천연 소재에도 눈을 돌리고 있다....
26,"공정위, 대리점 '갑질' 다음 타깃은 자동차?…의류 첫 조사",신웅수 기자 공정거래위원회가 의류 대리점에 대한 불공정관행 근절 조사에 본격 착수하면서 다음 타깃은... 27일 공정거래위원회에 따르면 '대리점분야 불공정관행 근절대책'에 따라 의류 업종에 대한 실태조사를...
27,국내 최대 14kg 용량 LG의류건조기 출시,한국의류시험연구원 시험결과에 따르면 세탁물 5kg을 건조하는 경우 전기료는 '에너지모드' 기준 117원이다. 스피드모드를 이용하면 57분 만에 건조가 끝난다. 또 '살균코스'는 의류를 통해 인체로 옮길 수 있는...
28,"현대백화점, 축구의류·용품 최대 50% 할인전",현대백화점 '풋볼 라이프스타일 페어' [현대백화점 제공] 현대백화점은 오는 23∼27일 목동점에서 축구 웹매거진 '오버더피치'와 함께 '풋볼 라이프스타일 페어'를 연다고 22일 밝혔다. 26∼27일 이틀간 7층...
29,호평·평내 남양주점프벼룩시장 개장 의류·장남감 등 재활용 물품 판매,"이날 오전 11시부터 오후 4시까지 운영된 남양주점프벼룩시장은 시민들이 판매부스를 설치해 의류, 장난감... 한편, 남양주점프벼룩시장에서는 의류, 장난감, 도서 등 재활용이 가능한 물품들을 시민들이 무상으로..."
30,"코웨이, 의류건조기로 가전시장 영향력 키워가","신제품 의류관리기와 고객 서비스 강화로 생활가전 업계서 영향력 확대에 박차를 가하고 있다. 의류관리기 시장은 아직 경쟁자가 많지 않은데다 신제품이 의류관리 기능에 공기 청정, 제습 기능까지 갖춰 경쟁력이..."
31,아웃도어·골프웨어 '냉감의류 전쟁',"시원함에 기능성·자연친화 제품도 본격적인 더위가 시작되면서 아웃도어와 골프웨어시장서 냉감 의류 경쟁이 뜨거워지고 있다. 냉감 소재의 핵심인 '시원함' 외에도 한지, 자일리톨, 옥 등으로 기능성과 자연 친화성을..."
32,"삼성, '의류청정기' 출시 임박?…특허권 분쟁 문제없을까",코웨이 의류청정기 삼성전자의 청정 기능을 탑재한 의류관리기 출시가 임박한 것으로 전해졌다. 최근 특허정보넷 키프리스에 따르면 삼성전자는 ‘삼성 의류청정기’ 상표를 등록했다. 이는 삼성전자가 의류관리기...
33,"롯데백화점, 워너원 컬래버레이션 의류 판매",워너원 컬래버레이션 티셔츠 [롯데백화점 제공연합뉴스] 롯데백화점은 21∼27일 본점 영플라자와 부산본점에서 그룹 워너원 컬래버레이션(협업) 의류를 오프라인 단독 판매한다고 20일 밝혔다. 이번에 선보이는 의류...
34,[너 그거 아니? ②] 진화된 냉감 의류 전쟁…그 속에 숨겨진 비밀은,"냉감 의류 전쟁이 시작됐다. 최근에는 티셔츠뿐 아니라 팬츠, 속옷 등으로 냉감소재의 사용 범위가 확대되며... 아웃도어 업계들마다 번격적인 더위가 시작되자 냉감 의류를 잇따라 출시하고 있다. 특히 올 시즌엔 냉감..."
35,"까웨(K-WAY), 대한서핑협회 공식의류 협약 체결","프랑스 어반 캐주얼 브랜드 '까웨(K-WAY)'가 오는 2021년까지 대한서핑협회 공식 의류로 선정되어 국가대표... 도심 일상 생활과 문화 레저 활동을 동시에 겸비할 수 있는 의류로 ‘현명한 소비자, 합리적인 소비’를..."
36,"스펙트럼, 데뷔 2주만에 의류모델 발탁","데뷔앨범 ‘비 본(Be Born)’의 타이틀곡 ‘불붙여’로 활발한 활동을 평치며 이번 의류브랜드 외에 화장품, 통신사 등 다양한 제품 군에서 모델계약 러브콜을 받고 있다고 소속사 측은 전했다. 김은 최신 웹툰이 매일..."
37,코웨이 의류청정기로 옷 관리·공기청정 한번에 싹~,코웨이 모델 배우 공유가 셀프 의류 관리 기능에 공기청정기를 탑재한 의류청정기 옆에서 포즈를 취하고 있다. #. A씨는 큰 마음 먹고 고가의 프리미엄 패딩을 구입했다. 평생 입을 요량이었다. 다음 겨울에 입으려고...
38,[서울경제TV] 의류·악세서리 담보로 대출받는다...동산금융 활성화,"기존엔 동력이 없는 유형, 원재료 등만 동산 담보물로 인정했으나 앞으론 이동식 작업설비 등 자체 동력이 있는 물건, 의류·악세서리 등의 반제품·완제품 등에도 허용됩니다. 또 동산·채권담보대출이라는..."
39,‘코벳블랑’ 의류 경쟁력 키운다,[어패럴뉴스 조은혜 기자] 지엔코(대표 김석주)의 패션& 라이프스타일 브랜드 ‘코벳블랑 (COVETBLAN)’이 의류상품 경쟁력을 한층 강화한다. ‘코벳블랑’은 작년부터 의류를 60%까지 확대해 안정된 확장이 이뤄짐에 따라...
40,"코웨이, 사계절 의류청정기 선봬",코웨이 사계절 의류청정기. / 코웨이 제공 라이프케어 기업 코웨이는 15일 2인1 제품 '코웨이 사계절 의류청정기(모델명 FAD-01)'를 출시한다고 밝혔다. 이 제품은 의류관리기와 공기청정기를 결합한 컨버전스 가전이다....
41,전통시장·상점 돌며 여성의류 상습 훔쳐,춘천경찰서는 전통시장 등을 돌며 상습적으로 여성 의류를 훔친 혐의로 김모(여·75)씨를 구속했다고 24일... 여성 의류를 훔친 혐의도 받고 있다. 경찰조사 결과 김씨는 일정한 주거지역 없이 경기도와 춘천을...
42,"""냉감도 친환경으로""…의류업계 여름철 '냉감 전쟁'","친환경 소재 냉감 제품으로 쿨 전쟁 린넨, 한지, 옥 등 천연소재 활용 쿨링 제품 차별화 경쟁 치열 K2 티바 컬렉션 [본격적인 더위가 시작되며 여름철 아웃도어 업계의 주력 제품인 냉감 의류 전쟁이 시작됐다. 최근에는..."
43,신세계百 테니스 의류 특별전,후원사 라코스테와 손잡고 국내 테니스 간판 정현 선수와 관련된 팝업스토어를 유통업계 단독으로 진행한다. 정현 선수의 2018년 주요 경기복과 동일한 상품을 특별 전시·판매하고 테니스 캐주얼 의류·잡화를 선보인다.
44,[시민에게 듣는다] 박행자 구월동ㆍ의류매장 운영,"“전통시장 뿐만 아니라 가두매장 소상공인들도 주목해주세요!” 인천 남동구 구월동에서 의류 매장을 운영하는 박행자 씨(55·여)는 백화점, 쇼핑센터, 전통시장 등에 비해 집객력이 낮은 가두매장 소상공인을 위한 공약도..."
45,"현대프리미엄아울렛, 반려동물 의류·용품 판매",현대프리미엄아울렛은 이번 행사를 통해 반려동물 관련 의류·용품·식품 등을 판매한다. 지난해 10월 현대시티아울렛 동대문점에서 선보였던 '펫팸족 피크닉 페어'에 이어 반려동물 관련 대형 행사로는 두번째다....
46,의류 신발 소싱처 ‘중국+베트남+기타國’,"미국 패션산업협회(US Fashion Industry Association)가 지난 해 주요 의류 브랜드들의 해외 소싱 담당 임원들을... 의류, 신발 소싱 허브인 베트남의 약진은 특히 세계 스포츠웨어 1, 2위 나이키와 아디다스의 신발..."
47,무더기 ‘신고가’ 의류株에 무슨 일이?,"-업황 회복 힘입은 내수 의류주, 52주 신고가 연일 경신 -2013~2015년 대비 낮아진 밸류에이션도 영향 의류주(株)가 증시에서 ‘신고가 행진’을 이어나가고 있다. F&F, 휠라코리아, 한섬, 신세계인터내셔널 등 내수에..."
48,메타랩스 홈쇼핑 의류 판매 ‘호조’···수익성 개선할 것,메타랩스 관계자는 “라이센스 계약을 통해 고정비 투입 없이 홈쇼핑 매출 중 라이선스 상표권 매출이 메타랩스 실적에 반영되는 구조”라며 “비교적 단가가 낮은 봄 의류 판매 실적임을 감안했을 때 올해 최소 250억...
49,"사회관계망서비스, '의류·화장품' 판매채널 부상","판매채널, 백화점→쇼핑몰→SNS로 이동 의류나 화장품 등 온라인 쇼핑 시장이 커지는 상황에서... 패션업계 한 관계자는 ""의류, 화장품 등 유통 채널이 2000년대 초반만 해도 백화점이 절대적이었으나 점차 온라인..."
50,소통으로 다가서니 매출도 상승...남성의류 전문몰 '모던클래스',그것이 고객과 소통하고 신뢰를 얻을 수 있는 첫번째 방법이라고 생각합니다” 온라인 남성의류 전문몰... 모던클래스는 20대 남자 대학생들이 등교를 하거나 데이트를 즐길 때 편하게 착용할 수 있는 캐주얼 의류를...
51,"백화점, 징검다리 연휴 쇼핑축제…의류·선글라스 등 할인판매","백화점들이 부처님 오신날(5월 22일)이 낀 징검다리 연휴를 맞아 유명 브랜드 의류와 선글라스, 골프의류·용품 등을 할인 판매한다. ◇ 롯데백화점  징검다리 연휴를 맞아 오는 22일까지 '5일간의 쇼핑축제'를..."
52,모바일 쇼핑 30대 남녀 최대…SNS 통한 의류 판매↑,"모바일 쇼핑이 늘어나는 가운데, 의류나 화장품 등 판매 채널로 사회관계망서비스(SNS)가 새로운 유통 '블루오션'으로 떠오르고 있습니다. 온라인 쇼핑 시장 거래액은 작년 78조 원에서 올해 100조 원을 넘을 것으로..."
53,"티몬 ""온라인에서 남성이 '유명 브랜드' 의류 더 찾아""","의류 매출비중 61%, 여성보다 21%p 높아 온라인에서 남성이 여성보다 유명 브랜드 옷을 더 많이 찾는다는 조사결과가 나왔다. 온라인쇼핑업체 티몬은 올해 1∼5월 패션상품 매출을 분석한 결과 남성 브랜드 의류..."
54,`쿨 테크` 의류라면…찜통더위에도 `쿨내`,"K2 `쿨360` 시리즈 인기 올여름 찌는 듯한 무더위가 찾아올 것으로 예상되면서 냉감 의류에 대한 관심도 커지고 있다. 무더운 여름철 피부를 데우는 열을 흡수해주고, 뛰어난 통기성으로 땀기를 없애 쾌적함을 유지해줄..."
55,"의류 수출 대표기업마저… 한세실업, 9년 만에 '적자'",세계적 의류 제조업체 한세실업의 가장 큰 시장은 미국이다. 광고 문구도 ‘미국인 3명 중 1명은 한세실업... 미국 시장에서 치열해지는 의류업체 간 경쟁도 한세실업을 괴롭혔다. 나이키와 갭(GAP) 등 한세실업에...
56,‘의류업종 표준대리점거래계약서’ 설명회,"한국패션협회(회장 한준석)와 한국의류산업협회(회장 최병오)가 오는 6월7일 오후 2시 섬유센터 2층 C3홀에서 공정거래위원회가 최근 제정, 발표한 ‘의류업종 표준대리점 계약서’에 관한 설명회를 개최한다...."
57,SNS 통해 '짝퉁' 골프의류 750점 판매 5명 적발,골프의류를 대량 판매한 혐의(상표법 위반)로 A(42)씨 등 5명을 불구속 입건했다. A씨 등은 지난해 1월부터 최근까지 대구 서구 주택가에 사무실을 차려놓고 SNS 가입자들에게 짝퉁 해외 유명 골프의류 750여 점을...
58,"의류업체 갭, '대만 없는 中지도' 티셔츠로 중국서 '뭇매'","""매우 죄송…중국 시장서 전량 회수·폐기"" 고개 숙여 '대만 빠진 중국 지도'에 中누리꾼 불만 [웨이보 캡처] 미국 의류 업체 갭(Gap)이 대만이 빠진 중국 지도가 담긴 티셔츠를 팔다가 중국 누리꾼들의 거센 비난을 받고..."
59,<성공 온라인몰 포커스>남성의류 전문몰 `룩파인`,남성의류 전문몰 '룩파인'은 넉넉한 크기인 '오버핏'에 맵시를 더한 옷으로 호응을 얻고 있다. 이든솔 대표는... 이 대표는 여성의류 전문몰도 준비 중이다. 지난해 개설한 중국 사무소를 중심으로 해외 사업에도 힘을 쏟고...
60,"B.A.P 종업, 오늘(18일) 의류 팝업스토어 오픈 행사 진행",[스포츠서울 이지석기자] 그룹 B.A.P 종업이 오늘(18일)부터 20일까지 서울 마포구 서교동에 위치한 한 스튜디오에서 의류 브랜드 ‘Triple Nine(트리플나인)’ 1주년 기념 팝업스토어 오픈 행사를 진행한다. 지난해...
61,'립밤' '의류'…'무한 변신'으로 돌파구 찾는 아이스크림,기존 제품의 포장이나 형태에 변화를 주거나 '립밤' '의류' 등 아예 다른 업종과의 컬래버레이션을 통해 아이스크림에 대한 신선한 이미지를 유지하려 노력 중이다. 20일 빙과업계에 따르면 롯제데과가 지난해 새로...
62,"'대세' 청하, 의류ㆍ화장품 이어 가전제품 광고도 접수","실제로 청하는 가구, 생활용품, 의류, 화장품 등 다양한 브랜드와 광고 계약을 맺었거나 논의 중으로, 10여 개 이상의 광고에서 뜨겁게 러브콜을 받고 있을 만큼 높은 가치를 인정받고 있다. 광고계 관계자는 ""청하는 나이 및..."
63,바닥 뚫고 지하로 가는 '의류 OEM 업체',"국내 의류 주문자상표부착생산(OEM) 업계가 악화일로를 걷고 있다. 수년째 계속되는 업황 침체로 패션... 이 연구원은 또 ""수직계열화한 상위 OEM 사업자들이 기존 고가 의류에서 중저가 의류까지 만들면서 하위 OEM..."
64,SNS로 가짜 골프 의류 유통한 일당 검거,골프 의류를 판매한 혐의로 42살 A 씨 등 5명을 붙잡아 조사하고 있습니다. A 씨 등은 지난해 1월부터 지난 3월까지 대구 원대동 주택가에 사무실을 차려두고 가짜 골프의류 750여 점을 판매해 3천400여만 원을...
65,미세먼지 바람속에 공기청정기ㆍ의류건조기 시장은 ‘춘추전국시대’,"특허청(청장 성윤모)에 따르면 미세먼지 ‘3대 가전’으로 인기를 끌고 있는 공기청정기, 의류건조기, 의류관리기의 디자인 경쟁이 치열한 것으로 나타났다. ‘머스트 해브 아이템(Must Have Item)’으로 자리잡은..."
66,중소기업까지 나섰다…필수가전 된 ‘의류관리기’,코웨이 사계절 의류청청기 (사진코웨이 제공) LG전자 독주체제가 이어져 왔던 의류관리기 시장이 경쟁 체제에 돌입했다. 의류관리기는 세탁 과정 없이 의류에 묻은 이물질과 미세먼지 등을 털어내고 살균 관리까지 받을...
67,"워너원 컬래버레이션 의류, 롯데百 21일부터 단독 판매","컬래버레이션 의류’를 단독 판매한다고 밝혔다. 본점 영플라자에서는 1층에 별도 팝업스토어를 운영하고, 부산본점은 ‘스타일온에어 플러스 매장’에서 행사가 진행된다. 이번에 판매하는 컬래버레이션 의류는..."
68,"LF 헤지스, 남성 화장품 라인 출시…의류와 시너지 효과 극대화","지난 2000년 남성 캐주얼 의류 브랜드로 출발한 헤지스는 2005년 여성라인, 2008년 액세서리 라인, 2009년 골프... 기존 의류 라인과의 시너지 효과를 극대화 하는데 역량을 집중할 계획이다. 김인권 LF 상무는 “헤지스는..."
69,잦은 미세먼지·황사에 의류 건조기 특허출원 급증,"작년 87건으로 전년 대비 30% 늘어 의류 건조기 [연합뉴스 자료사진] 미세먼지와 황사 탓에 빨래를 햇볕과 바람만으로 자연 건조하는 것이 꺼려지면서 의류 건조기 보급이 늘고, 관련 특허출원도 활기를 띤다. 7일..."
70,"""의류관리기=스타일러 공식 깨져"" 경쟁 체제",코웨이는 15일 의류관리에 공기청정 기능을 더한 의류청정기를 국내 출시했다. ⓒ 코웨이 [프라임경제] LG전자(066570)의 독점체제로 흘러가던 의류관리기 시장이 올해를 기점으로 본격적인 경쟁관계로 전환될 전망이다....
71,[열정! e경영인]남녀 캐주얼의류 전문몰 '똥파리닷컴',“최근 활동성이 좋은 오버핏 의류를 찾는 고객들이 늘었습니다. ” 남녀 캐주얼의류 전문 쇼핑몰 '똥파리닷컴' 김유진 대표는 복고풍 패션 트렌드 유행에 따라 박스 티셔츠와 품이 넉넉한 청바지 수요가 증가했다고...
72,잦은 미세먼지에 의류 건조기 특허출원 급증,"미세먼지와 황사 탓에 빨래를 햇볕과 바람만으로 자연 건조하는 것이 꺼려지면서 의류 건조기 보급이 늘고, 관련 특허출원도 활기를 띠고 있다. 최근 특허청에 따르면 의류 건조기 특허출원은 2013년 58건에서..."
73,[열정! e성공쇼핑몰] 빅사이즈 여성의류 전문 쇼핑몰 '레이디플러스',"빅사이즈 여성의류 시장에서 예쁜 옷맵시와 색상, 디자인으로 인정받아 직영공장에서 자체 생산,좋은 품질의 의류 합리적 가격에 제공위해 노력 역지사지(易地思之) 입장에서 고객 마음 읽고, 고객감동 실현해 나갈 터..."
74,"미 의류업체 갭, 중국에 사과 ""중국지도서 대만 실수로 빼""",【베이징AP/뉴시스】 지난 2010년 11월16일 중국 베이징에 새로 문을 연 미 의류업체 갭의 매장 앞을 중국 오성홍기를 든 한 남성이 지나가고 있다. 갭은 14일 자신들의 T셔츠에 대만이 중국의 영토로 포함되지...
75,김민승 생전 자취 보니...'90년대 톱모델+의류 브랜드 런칭',"이와 함께 직접 남녀의류브랜드 '에카본'을 런칭하기도 했다. 지난 2006년 김민승은 기존 여성 연예인이 시도했던 의류 브랜드 런칭을 시작했으며, 당시 런칭 담당자는 ""여성 연기자나 모델을 통한 브랜드의 성공에 이어..."
76,연매출 1천억 日의류기업 ‘카페24’ 쓴다,셀렉트모카 카페24 통해 韓中 진출 (지디넷코리아백봉삼 기자)글로벌 전자상거래 플랫폼 카페24(대표 이재석)는 일본 후쿠오카에 거점을 둔 연매출 1천억원 규모의 여성의류 기업 미스아이디의 셀렉트모카가 카페24를...
77,"NSR, 투르 드 코리아 공식 의류 협찬","신티에스(대표 차민호)의 자전거 의류 브랜드 NSR이 아시아 최대의 도로 사이클 대회인 ‘투르 드 코리아... NSR은 투르 드 코리아의 리더 저지, 시상식 유니폼, 대회 운영에 필요한 추가 의류들을 공식 협찬한다. 각..."
78,"의류편집샵 '더블에잇', 뛰어난 디자인과 빠른 의류 로테이션으로 인기","남녀공용 의류 편집샵인 더블에잇(Double Eight’s, 심준식 대표)이 뛰어난 디자인과 빠른 의류 로테이션으로 소비자들에게 사랑을 받으며 빠르게 확장세를 보이고 있다. 해당 브랜드는 트렌드에 뒤처지지 않기 위해..."
79,함소원 18살 연하 남편 진화 누구? 여의도의 30배 땅 가진 의류 사업가,"함소원의 남편은 웨이보 팬만 약 20만 명을 가진 SNS 스타로 현재 의류 사이트를 경영하는 사업가다. 함소원 남편 진화 사진SBS ‘본격연예 함밤’ 방송화면 캡처(좌 진화, 우 함소원) 두 사람은 지인의..."
80,'여름이 온다' 백화점 의류·바캉스 용품 최대 80% 할인,"[현대백화점 제공연합뉴스] 이번 주말 주요 백화점은 본격적으로 더워지는 날씨에 맞춰 여름 의류와... 대표 상품은 나이키 육상화 5만5천원, 케이스위스 트레이닝복세트 6만천이며, 아식스에서는 의류와 신발을..."
81,"""해외 유명 아기옷 한자리에""…현대百, 유아의류 팝업스토어 오픈",아베끄뚜아 판매 브랜드 광고(현대백화점 제공)? News1 현대백화점은 오는 14일부터 24일까지 판교점에서 유아 의류·생활용품 판매 팝업 스토어 '아베끄뚜아(AVEC TOI)'를 연다고 13일 밝혔다. 배우 이민정씨와 협업...
82,"'1Q 쇼크' 의류 OEM, 하반기 업황 회복 기대 여전","[아이투자 오진경 데이터 기자] 의류 OEM 기업들은 지난 1분기 다소 부진한 실적을 거뒀으나 업황 회복... ◎ 의류업종 1분기 실적 표 [1Q 실적 표-의류] 동일방직, 영업익 220%↑..증가율 1위-코스피 [1Q 실적 표-의류] 형지I&C..."
83,롯데제과 빙과 '죠크박'의 끝없는 변신… 껌?캔디?젤리?의류에 이어 립밤까...,"껌?캔디?젤리?의류에 이어 바디케어 제품까지 무한 확장되고 있다. 롯데제과는 토탈 바디케어 브랜드... 죠크박은 작년부터 컵, 치어팩 등 새로운 포장 형태로 선보이거나 껌, 캔디, 젤리, 의류 등 새로운 제품으로..."
84,여장하고 여성 의류점에서 옷 훔친 40대 구속,심야에 여장을 하고 여성 의류점에 침입해 옷을 훔친 40대 남성이 구속됐다. 여수경찰서는 지난 3월 초부터 최근까지 모두 4차례 심야에 여장을 하고 여수 일대를 돌며 문단속이 허술한 여성 의류점에 침입해 190여만...
